SEDOL,Ticker,Holdings name,Shares,Market value*,% of fund*,Sector,Market,Security depository receipt type
BMFF8M1,OWLT,Owlet Inc.,155507,"$477,406.49 ",3.47253E-05,Health Care Equipment,US,---
BMV2RJ6,BFI,BurgerFi International Inc.,310543,"$468,919.93 ",0.000034108,Restaurants,US,---
BHS7YD2,OPTT,Ocean Power Technologies Inc.,1001472,"$467,987.87 ",3.40402E-05,Heavy Electrical Equipment,US,---
2766902,SFE,Safeguard Scientifics Inc.,417279,"$467,352.48 ",0.000033994,Asset Management & Custody Banks,US,---
B23WLP8,CPIX,Cumberland Pharmaceuticals Inc.,280820,"$463,353 ",3.37031E-05,Pharmaceuticals,US,---
2354460,FTEK,Fuel Tech Inc.,424566,"$462,776.94 ",3.36612E-05,Environmental & Facilities Services,US,---
BGV8J85,EQ,Equillium Inc.,570835,"$462,376.35 ",3.36321E-05,Biotechnology,US,---
BMH0XN0,BIOR,Biora Therapeutics Inc.,155034,"$460,450.98 ",0.000033492,Biotechnology,US,---
BJQKP89,BLIN,Bridgeline Digital Inc.,510114,"$459,102.60 ",0.000033394,Application Software,US,---
BR1W854,TSBX,Turnstone Biologics Corp.,42545,"$459,060.55 ",3.33909E-05,Biotechnology,US,---
BPVGJS2,SIEN,Sientra Inc.,185255,"$457,579.85 ",3.32832E-05,Health Care Supplies,US,---
2258498,DXR,Daxor Corp.,47328,"$456,241.92 ",3.31859E-05,Health Care Equipment,US,---
B1FL1D4,ESOA,Energy Services of America Corp.,121699,"$453,937.27 ",3.30182E-05,Oil & Gas Equipment & Services,US,---
BKX9V77,DUOT,Duos Technologies Group Inc.,84934,"$453,547.56 ",3.29899E-05,Systems Software,US,---
2872188,TAIT,Taitron Components Inc.,125572,"$452,059.20 ",3.28816E-05,Technology Distributors,US,---
BRDYC56,ATIP,ATI Physical Therapy Inc.,49713,"$448,411.26 ",3.26163E-05,Health Care Services,US,---
B0M0212,BSQR,BSQUARE Corp.,370084,"$447,801.64 ",3.25719E-05,Application Software,US,---
BKP32B8,CCLD,CareCloud Inc.,266292,"$447,370.56 ",3.25406E-05,Health Care Technology,US,---
BMXBN71,HUSA,Houston American Energy Corp.,231528,"$446,849.04 ",3.25027E-05,Oil & Gas Exploration & Production,US,---
BNM9JP3,BRFH,Barfresh Food Group Inc.,233784,"$444,189.60 ",3.23092E-05,Packaged Foods & Meats,US,---
BK26FG6,APDN,Applied DNA Sciences Inc.,346633,"$443,690.24 ",3.22729E-05,Life Sciences Tools & Services,US,---
BNDK2Q7,SNSE,Sensei Biotherapeutics Inc.,441585,"$441,585 ",3.21198E-05,Biotechnology,US,---
BMY60J6,STRC,Sarcos Technology & Robotics Corp.,393671,"$440,911.52 ",3.20708E-05,Industrial Machinery & Supplies & Components,US,---
BMCCHR3,LUCD,Lucid Diagnostics Inc.,286266,"$440,849.64 ",3.20663E-05,Health Care Equipment,US,---
BN4GB34,NHWK,NightHawk Biosciences Inc.,705534,"$440,253.22 ",3.20229E-05,Biotechnology,US,---
BMH63K5,RMTI,Rockwell Medical Inc.,188842,"$440,001.86 ",3.20046E-05,Health Care Supplies,US,---
BNNTCP3,PBBK,PB Bankshares Inc.,34141,"$437,346.21 ",3.18114E-05,Regional Banks,US,---
BPW7P08,BOXL,Boxlight Corp. Class A,187451,"$436,760.83 ",3.17689E-05,"Technology Hardware, Storage & Periphera",US,---
BKM3D96,NNVC,NanoViricides Inc.,300189,"$435,274.05 ",3.16607E-05,Biotechnology,US,---
BVVJ9T4,SSNT,SilverSun Technologies Inc.,118790,"$434,771.40 ",3.16242E-05,Systems Software,US,---
2238326,CCEL,Cryo-Cell International Inc.,72236,"$433,054.82 ",3.14993E-05,Health Care Services,US,---
BP2DGG9,SABS,SAB Biotherapeutics Inc.,598672,"$431,043.84 ",0.000031353,Biotechnology,US,---
2892476,TSRI,TSR Inc.,50537,"$429,564.50 ",3.12454E-05,IT Consulting & Other Services,US,---
BNC4K11,ADN,Advent Technologies Holdings Inc.,760618,"$427,467.32 ",3.10929E-05,Electrical Components & Equipment,US,---
BP92Z62,ELTX,Elicio Therapeutics Inc.,51599,"$426,207.74 ",3.10013E-05,Pharmaceuticals,US,---
BN7RQC8,SNDA,Sonida Senior Living Inc.,46383,"$422,549.13 ",3.07351E-05,Health Care Facilities,US,---
BMYDMZ7,DLPN,Dolphin Entertainment Inc.,229216,"$421,757.44 ",3.06776E-05,Movies & Entertainment,US,---
2464013,INTG,InterGroup Corp.,12233,"$419,958.89 ",3.05467E-05,Real Estate Operating Companies,US,---
BLDBSB3,SOBR,Sobr Safe Inc.,310977,"$419,818.95 ",3.05366E-05,Electronic Equipment & Instruments,US,---
BMFQKG2,SFT,Shift Technologies Inc.,347304,"$416,764.80 ",3.03144E-05,Automotive Retail,US,---
BWTXL22,PZG,Paramount Gold Nevada Corp.,1223263,"$414,686.16 ",3.01632E-05,Gold,US,---
BMQ67R1,MPTI,M-Tron Industries Inc.,21794,"$414,088.18 ",3.01197E-05,Electronic Components,US,---
BD73LC1,FPAY,FlexShopper Inc.,425184,"$413,278.85 ",3.00608E-05,Specialized Finance,US,---
BNBPGK6,MKTW,MarketWise Inc.,304854,"$411,552.90 ",2.99353E-05,Financial Exchanges & Data,US,---
BQBCZN4,AKU,Akumin Inc.,2890700,"$408,166.84 ",0.000029689,Health Care Services,US,---
BLBCYY3,FBRX,Forte Biosciences Inc.,487429,"$404,614.81 ",2.94306E-05,Biotechnology,US,---
BNK9MX4,TBIO,Telesis Bio Inc.,307523,"$402,855.13 ",2.93026E-05,Life Sciences Tools & Services,US,---
BLD0YM3,AFIB,Acutus Medical Inc.,835044,"$401,489.16 ",2.92033E-05,Health Care Equipment,US,---
2799384,SIEB,Siebert Financial Corp.,188535,"$395,923.50 ",2.87985E-05,Investment Banking & Brokerage,US,---
B76YLF6,MTEX,Mannatech Inc.,30953,"$394,960.28 ",2.87284E-05,Personal Care Products,US,---
B02NVQ9,KINS,Kingstone Cos. Inc.,193591,"$394,925.64 ",2.87259E-05,Property & Casualty Insurance,US,---
BN2RLD9,UPXI,Upexi Inc.,214062,"$387,452.22 ",2.81823E-05,Personal Care Products,US,---
BNKBJY0,RVYL,Ryvyl Inc.,322688,"$383,998.72 ",2.79311E-05,Transaction & Payment Processing Service,US,---
2022585,SRT,StarTek Inc.,122969,"$381,203.90 ",2.77278E-05,Data Processing & Outsourced Services,US,---
