Date,Open,High,Low,Close,Adj Close,Volume
1993-02-08,44.96875,45.125,44.90625,44.96875,25.526793,596100
1993-03-08,44.84375,45.75,44.84375,45.75,25.970278,50800
1993-04-08,44.53125,44.53125,44.09375,44.28125,25.255241,180800
1993-05-10,44.40625,44.6875,44.40625,44.4375,25.344358,113900
1993-06-08,45.0,45.0,44.71875,44.71875,25.504753,104500
1993-07-08,44.375,44.9375,44.3125,44.84375,25.757328,248200
1993-08-09,45.09375,45.34375,45.0,45.21875,25.972713,828200
1993-09-08,46.0625,46.0625,45.59375,45.90625,26.367592,269900
1993-10-08,46.125,46.15625,45.71875,46.0625,26.622196,54400
1993-11-08,46.09375,46.25,45.96875,46.125,26.658329,367600
1993-12-08,46.84375,46.84375,46.78125,46.84375,27.073709,146700
1994-01-10,47.09375,47.59375,46.96875,47.59375,27.695488,593700
1994-02-08,47.28125,47.28125,47.03125,47.21875,27.477272,188200
1994-03-08,46.96875,46.96875,46.6875,46.75,27.20451,880300
1994-04-08,44.9375,44.9375,44.46875,44.6875,26.154306,242400
1994-05-09,44.625,44.75,44.28125,44.359375,25.962263,499300
1994-06-08,46.265625,46.265625,45.78125,45.78125,26.794455,131900
1994-07-08,44.640625,44.984375,44.625,44.90625,26.4561,148400
1994-08-08,45.828125,45.9375,45.78125,45.890625,27.036032,328600
1994-09-08,47.359375,47.5625,47.34375,47.5,27.984194,284800
1994-10-10,45.65625,46.015625,45.640625,45.9375,27.228262,213600
1994-11-08,46.625,46.984375,46.546875,46.828125,27.756145,308300
1994-12-08,45.5,45.5625,44.75,44.875,26.598473,261500
1995-01-09,46.03125,46.09375,46.0,46.09375,27.538689,36800
1995-02-08,48.234375,48.46875,48.203125,48.296875,28.854958,521500
1995-03-08,48.515625,48.625,48.34375,48.5625,29.013668,155900
1995-04-10,50.625,50.796875,50.59375,50.796875,30.512848,285400
1995-05-08,52.140625,52.734375,52.09375,52.5625,31.573412,183100
1995-06-08,53.484375,53.640625,53.375,53.375,32.061485,141100
1995-07-10,55.8125,55.953125,55.703125,55.796875,33.713116,400400
1995-08-08,56.140625,56.3125,55.9375,56.109375,33.901909,951900
1995-09-08,57.546875,57.546875,57.171875,57.546875,34.770454,107300
1995-10-09,58.1875,58.21875,57.8125,57.921875,35.183865,358200
1995-11-08,58.890625,59.375,58.890625,59.34375,36.047535,357200
1995-12-08,62.21875,62.234375,61.765625,62.15625,37.755939,296900
1996-01-08,61.8125,61.90625,61.734375,61.828125,37.788818,179900
1996-02-08,65.046875,65.90625,64.921875,65.84375,40.243149,1526600
1996-03-08,64.1875,64.875,62.0,63.5,38.810673,2289900
1996-04-08,63.875,64.390625,63.59375,64.390625,39.5298,2217200
1996-05-08,63.671875,64.78125,63.078125,64.78125,39.769608,1694700
1996-06-10,67.53125,67.734375,67.296875,67.40625,41.381107,548800
1996-07-08,65.625,65.984375,65.125,65.3125,40.308197,942000
1996-08-08,66.5625,66.5625,66.1875,66.4375,41.002499,925100
1996-09-09,66.1875,66.734375,66.078125,66.71875,41.17609,719200
1996-10-08,70.453125,70.6875,70.015625,70.140625,43.510723,386200
1996-11-08,73.03125,73.4375,72.75,73.421875,45.546158,1355700
1996-12-09,74.6875,75.421875,74.578125,75.40625,46.777145,1864600
1997-01-08,75.75,75.78125,74.6875,74.6875,46.55896,1802200
1997-02-10,79.25,79.53125,78.421875,78.46875,48.916119,1670000
1997-03-10,80.9375,81.6875,80.546875,81.6875,50.922642,1074900
1997-04-08,76.125,76.78125,75.84375,76.6875,47.988796,1822700
1997-05-08,81.3125,83.21875,81.1875,82.0625,51.352341,2923700
1997-06-09,86.4375,86.875,86.34375,86.8125,54.32473,1823400
1997-07-08,91.25,92.1875,91.1875,92.078125,57.844177,3396500
1997-08-08,94.3125,94.75,92.40625,93.375,58.658886,7113100
1997-09-08,93.71875,94.0,93.3125,93.546875,58.76685,803500
1997-10-08,98.359375,98.375,96.734375,97.5,61.474903,4439400
1997-11-10,93.625,93.84375,92.0,92.375,58.243553,4347900
1997-12-08,98.96875,99.0,98.25,98.65625,62.203983,2289200
1998-01-08,96.3125,96.3125,95.375,95.625,60.532654,3831000
1998-02-09,101.71875,101.75,100.71875,101.28125,64.113152,2322200
1998-03-09,105.53125,106.21875,105.25,105.5625,66.823273,3362800
1998-04-08,111.21875,111.28125,109.75,110.3125,70.030785,4854800
1998-05-08,110.0,111.375,110.0,111.125,70.546577,7951000
1998-06-08,111.9375,112.46875,111.65625,111.875,71.02269,4159900
1998-07-08,115.875,116.9375,115.75,116.625,74.273788,6875000
1998-08-10,108.75,109.65625,108.1875,108.5,69.099297,6273000
1998-09-08,100.875,103.0,99.8125,103.0,65.596603,14746500
1998-10-08,94.5625,96.75,92.21875,96.59375,61.733952,20625000
1998-11-09,113.9375,114.25,112.5,113.3125,72.41906,6188700
1998-12-08,118.53125,119.75,117.5,118.40625,75.674545,10102600
1999-01-08,128.1875,128.5,125.96875,127.75,81.917473,6224400
1999-02-08,125.09375,125.09375,123.34375,124.3125,79.713226,8528400
1999-03-08,128.28125,128.796875,127.25,128.375,82.318222,4802200
1999-04-08,133.1875,134.9375,132.28125,134.84375,86.675911,5909100
